Amaranthaceae	Anacardiaceae	Apiaceae	Araucaria.Angustifolia	Arecaceae	Asteraceae	Cecropia	Celtis	Clethra	Drimys.Brasiliensis	Euphorbiaceae	Fabaceae	Hedyosmum.	Ilex	Lamanonia.speciosa.type	Malpighiaceae	Melastomataceae.Combretaceae	Moraceae.Urticaceae	Myrsine	Myrtaceae	Piper	Poaceae	Podocarpus	Rubiaceae	Sapindaceae	Solanaceae	Symplocos	Trema.type	Weinmannia
0.348432056	0	2.090592334	0.696864111	0	10.80139373	0	0	0.348432056	0	0	1.742160279	0	1.393728223	0	0	0.696864111	0.348432056	0	5.226480836	0	74.56445993	0.348432056	0	0	0	0.348432056	0	0.348432056
0	0	3.546099291	0.354609929	0.354609929	9.929078014	0	0.354609929	0	0	0.709219858	0.709219858	0	1.418439716	0	0	0.354609929	0.709219858	1.773049645	6.382978723	0	69.14893617	0.354609929	0.354609929	0	0	0.709219858	0	1.063829787
0	0	1.993355482	0	0	10.29900332	0	0.664451827	0	0	0.332225914	0.996677741	0	0.664451827	0	0	0.664451827	0	0.332225914	4.318936877	0	75.74750831	0	0.332225914	0	0	0.996677741	0	0.664451827
0	0	3.214285714	0.357142857	0	11.42857143	0	0	0	0	0	0.714285714	0	1.428571429	0	0	0.357142857	0	1.428571429	4.642857143	0	72.14285714	0	0	0	0.357142857	0.357142857	0	1.785714286
0	0	4.912280702	0	0	12.28070175	0	0.350877193	0	0.350877193	0.350877193	0	0	1.754385965	0	0	0.701754386	0	1.052631579	8.070175439	0	65.96491228	0.350877193	0	0	0	0.701754386	0	1.052631579
0.350877193	0	2.105263158	0	0.701754386	12.63157895	0	0	0	0	0.701754386	0.701754386	0	0.701754386	0	0	0.701754386	1.052631579	1.052631579	7.01754386	0	67.71929825	0.350877193	0	0	0	1.052631579	0	1.052631579
0	0	1.766784452	0	0	15.90106007	0	0.35335689	0	0	0.706713781	0.706713781	0	1.766784452	0	0	0.35335689	0	1.060070671	8.833922261	0	65.01766784	0.35335689	0	0.35335689	0	0.706713781	0	1.413427562
0	0	2.482269504	0.354609929	1.063829787	10.9929078	0	0	0	0	0.354609929	0.354609929	0	1.418439716	0	0	0.709219858	0	0.709219858	5.319148936	0	70.56737589	0	0.354609929	0	0.354609929	0.709219858	0	1.063829787
0.357142857	0	1.428571429	0	0	8.214285714	0	0	0.357142857	0	0.714285714	0.714285714	0	1.071428571	0	0	0	0	0	6.785714286	0	75.71428571	0	0	0	0	0.714285714	0	0.714285714
0	0	1.388888889	0	0	10.41666667	0	0.347222222	0	0	0.347222222	0.347222222	0	0.694444444	0	0	2.430555556	0	1.041666667	7.638888889	0	72.91666667	0.694444444	0	0.347222222	0	0	0	1.041666667
